Symbol	Description
AAB	Aberdeen International Inc
AAV	Advantage Oil & Gas Ltd
ABT	Absolute Software Corp
ABX	Barrick Gold Corp
AC	Air Canada
ACB	Aurora Cannabis Inc
ACB.WT	Aurora Cannabis Inc WT
ACD	Accord Financial
ACD.DB	Accord Financial Corp 7.00 Pct Debs
ACI	Altagas Canada Inc
ACO.X	Atco Ltd Cl.I NV
ACO.Y	Atco Ltd Cl II
ACQ	Autocanada Inc
ACZ	Middlefield American Core Dividend ETF
AD	Alaris Royalty Corp
AD.DB	Alaris Royalty Corp 5.50 Pct Debs
ADN	Acadian Timber Corp
ADVZ	Advanz Pharma Corp
ADW.A	Andrew Peller Limited Cl.A
ADW.B	Andrew Peller Limited Cl.B
AEF	Acasta Enterprises Inc
AEF.WT	Acasta Enterprises Inc WT
AEM	Agnico Eagle Mines Limited
AEZS	Aeterna Zentaris Inc
AFN	Ag Growth International Inc
AFN.DB.D	Ag Growth Intl Inc 4.85 Pct Debs
AFN.DB.E	Ag Growth Intl Inc 4.50 Pct Debs
AFN.DB.F	Ag Growth Intl Inc 5.4 Pct Debs
AFN.DB.G	Ag Growth Intl Inc 5.25 Pct Debs
AFN.DB.H	Ag Growth Intl Inc 5.25 Pct Debs
AGF.B	AGF Management Ltd Cl.B NV
AGI	Alamos Gold Inc Cls A
AI	Atrium Mortgage Investment Corp
AI.DB	Atrium Mortgage Inv Corp 5.25 Pct Debs
AI.DB.B	Atrium Mortgage Inv Corp 5.50 Pct Debs
AI.DB.C	Atrium Mortgage Inv Corp 5.30 Pct Debs
AI.DB.D	Atrium Mortgage Inv Corp 5.50 Pct Debs
AI.DB.E	Atrium Mortgage Inv Corp 5.60 Pct Debs
AIF	Altus Group Limited
AII	Almonty Industries Inc
AIM	Aimia Inc
AIM.PR.A	Aimia Inc Pref Ser 1
AIM.PR.B	Aimia Inc Pref Ser 2
AIM.PR.C	Aimia Inc Pref Ser 3
AJX	Agjunction Inc
AKG	Asanko Gold Inc
AKT.A	Akita Drilling Ltd Cl.A NV
AKT.B	Akita Cl B
AKU	Akumin Inc
AKU.U	Akumin Inc
ALA	Altagas Ltd
ALA.PR.A	Altagas Ltd Pref A
ALA.PR.B	Altagas Ltd Pref Ser B
ALA.PR.E	Altagas Ltd Pref Ser E
ALA.PR.G	Altagas Ltd Pref G
ALA.PR.H	Altagas Ltd Pref H
ALA.PR.I	Altagas Ltd Pref Ser I
ALA.PR.K	Altagas Ltd Pref Ser K
ALA.PR.U	Altagas Ltd Pref Ser C
ALB	Allbanc Split Banc Corp II
ALB.PR.C	Allbanc Split Corp II Pref Ser 2
ALC	Algoma Central
ALC.DB.A	Algoma Central Corp 5.25 Pct Debs
ALEF	Aleafia Health Inc
ALEF.DB	Aleafia Health Inc 8.50 Pct Debs
ALEF.WT	Aleafia Health Inc WT
ALO	Alio Gold Inc
ALS	Altius Minerals Corp
ALYA	Alithya Group
AMM	Almaden Minerals Ltd
AND	Andlauer Healthcare Group Inc
ANX	Anaconda Mining Inc
AOI	Africa Oil Corp
AOT	Ascot Resources Ltd
AP.UN	Allied Properties Real Estate Inv Trust
APHA	Aphria Inc
APR.UN	Automotive Properties REIT
APS	Aptose Biosciences Inc
APY	Anglo Pacific Group Plc
AQA	Aquila Resources Inc
AQN	Algonquin Power and Utilities Corp
AQN.PR.A	Algonquin Power and Utilities Pref A
AQN.PR.D	Algonquin Power and Utilities Pref D
AR	Argonaut Gold Inc
ARE	Aecon Group Inc
ARE.DB.C	Aecon Group Inc 5.0 Pct Debs
ARG	Amerigo Resources Ltd
ARX	Arc Resources Ltd
ASM	Avino Silver and Gold Mines Ltd
ASND	Ascendant Resources Inc
ASND.WT	Ascendant Resources Inc WT
ASP	Acerus Pharmaceuticals Corp
ASR	Alacer Gold Corp
AT	Acuityads Holdings Inc
ATA	Ats Automation
ATD.A	Alimentation Couche-Tard Inc Cl A Mv
ATD.B	Alimentation Couche-Tard Inc Cl B Sv
ATH	Athabasca Oil Corp
ATP	Atlantic Power Corp
ATP.DB.E	Atlantic Power Corporation 6.00 Pct Debs
ATSX	Accelerate Enhanced CDN Bm Alt Fund ETF
ATZ	Aritzia Inc
AUG	Auryn Resources Inc
AUGB.F	First Trst CBOE Vest US Eqty Buffer ETF
AUMN	Golden Minerals Company
AUP	Aurinia Pharmaceuticals Inc
AVCN	Avicanna Inc
AVL	Avalon Advanced Materials Inc
AVP	Avcorp Industries Inc
AW.UN	A&W Revenue Royalties Income Fund
AX.PR.A	Artis REIT Pref Ser A
AX.PR.E	Artis REIT Pref Ser E
AX.PR.I	Artis REIT Pref Series I
AX.UN	Artis Real Estate Investment Trust Units
AXU	Alexco Resource Corp
AYM	Atalaya Mining Plc
AZP.PR.A	Atlantic Power Pref Equity Ser 1
AZP.PR.B	Atlantic Power Pref Equity Ser 2
AZP.PR.C	Atlantic Power Pref Equity Ser 3
AZZ	Azarga Uranium Corp
BAD	Badger Daylighting Ltd
BAM.A	Brookfield Asset Management Inc Cl.A Lv
BAM.PF.A	Brookfield Asset Mgmt Inc Pref Ser 32
BAM.PF.B	Brookfield Asset Mgmt Inc Pref Ser 34
BAM.PF.C	Brookfield Asset Mgmt Inc Pref Ser 36
BAM.PF.D	Brookfield Asset Mgmt Inc Pr Ser 37
BAM.PF.E	Brookfield Asset Mgmt Pref Ser 38
BAM.PF.F	Brookfield Asset Mgmt Inc Pref Ser 40
BAM.PF.G	Brookfield Asset Mgmt Inc Pref Ser 42
BAM.PF.H	Brookfield Asset MGT Inc Pref Ser 44
BAM.PF.I	Brookfield Asset Mgmt Inc Pref Ser 46
BAM.PF.J	Brookfield Asset Mgmt Inc Pref Ser 48
BAM.PR.B	Brookfield Asset Mgmt Inc Pr. Ser 2
BAM.PR.C	Brookfield Asset Mgmt Inc Pr. Ser 4
BAM.PR.E	Brookfield Asset Mgmt Inc Pr. Ser 8
BAM.PR.G	Brookfield Asset Mgmt Inc Pr Ser 9
BAM.PR.K	Brookfield Asset Mgmt Inc Pr. Ser 13
BAM.PR.M	Brookfield Asset Mgmt Inc Prf A Ser 17
BAM.PR.N	Brookfield Asset Mgmt Pref Shs Ser 18
BAM.PR.R	Brookfield Asset Mgmt Pref Ser 24
BAM.PR.S	Brookfield Asset Mgmt Inc Pref Ser 25
BAM.PR.T	Brookfield Asset Mgmt Pref Ser 26
BAM.PR.X	Brookfield Am Pref Ser 28
BAM.PR.Z	Brookfield Asset Mgmt Inc Pr Ser 30
BAR	Balmoral Resources Ltd
BASE	Evolve Glob Matls Mining Enh Yld Idx ETF
BASE.B	Evolve Glob Matls Mining Enh Yld Unhgd
BB	Blackberry Limited
BB.DB.V	Blackberry Limited 3.75 Pct Debs USD
BBD.A	Bombardier Inc Cl A Mv
BBD.B	Bombardier Inc Cl B Sv
BBD.PR.B	Bombardier 2 Pr
BBD.PR.C	Bombardier Inc Pref Class C
BBD.PR.D	Bombardier Inc Pref Ser 3
BBL.A	Brampton Brick Ltd Cl.A Sv
BBU.UN	Brookfield Business Partners LP
BC.U	Bespoke Capital Acquisition Class A USD
BC.WT.U	Bespoke Capital Acquisition Corp WT
BCB	Cott Corp
BCE	BCE Inc
BCE.PR.A	BCE First Pr Shares Series Aa
BCE.PR.B	BCE Inc First Pr Shares Series Ab
BCE.PR.C	BCE Inc Pr Shares Series AC
BCE.PR.D	BCE Inc Pref Shares Series Ad
BCE.PR.E	BCE 1st Pref Shares Series Ae
BCE.PR.F	BCE 1st Pref Shares Series Af
BCE.PR.G	BCE 1st Pref Shares Series Ag
BCE.PR.H	BCE 1st Pref Shares Series Ah
BCE.PR.I	BCE 1st Pref Shares Series Ai
BCE.PR.J	BCE Inc Pref Sh Series Aj
BCE.PR.K	BCE Inc Pref Ser AK
BCE.PR.L	BCE Inc Pref Ser AL
BCE.PR.M	BCE Inc Pref Shares Series Am
BCE.PR.N	BCE Inc Pref Shares Series An
BCE.PR.O	BCE Inc Pref Shares Series Ao
BCE.PR.Q	BCE Inc Pref Shares Series Aq
BCE.PR.R	BCE Inc Ser R
BCE.PR.S	BCE Inc Ser S
BCE.PR.T	BCE Inc First Pref Series T
BCE.PR.Y	BCE Inc Ser Y Pr
BCE.PR.Z	BCE Inc Series Z
BCI	New Look Vision Group Inc
BDI	Black Diamond Group Ltd
BDIV	Brompton Global Dividend Growth ETF
BDT	Bird Construction Inc
BEI.UN	Boardwalk Real Estate Investment Trust
BEK.B	Becker Milk Company Ltd Cl.B NV
BEP.PR.E	Brookfield Renewable LP Pref Ser 5
BEP.PR.G	Brookfield Renewable LP Pref Ser 7
BEP.PR.I	Brookfield Renewable Pref Ser 9
BEP.PR.K	Brookfield Renewable LP Pref Ser 11
BEP.PR.M	Brookfield Renewable LP Pref Ser 13
BEP.PR.O	Brookfield Renewable Partners L.P.
BEP.UN	Brookfield Renewable Partners LP
BFIN	Brompton Na Financials Dividend ETF
BFIN.U	Brompton Na Financials Dividend ETF USD
BGC	Bristol Gate Concentrated CDN Eqty ETF
BGI.UN	Brookfield Glbl Infras Sec Inc Fd
BGU	Bristol Gate Concentrated US Eqty ETF
BGU.U	Bristol Gate Conc US Eqty ETF USD
BHC	Bausch Health Companies Inc
BIK.PR.A	Bip Investment Corp Pref Ser 1
BIP.PR.A	Brookfield Infra Partners LP Pref Ser 1
BIP.PR.B	Brookfield Infra Partners LP Pref Ser 3
BIP.PR.C	Brookfield Infra Partners LP Pref Ser 5
BIP.PR.D	Brookfield Infra Partners LP Pref Ser 7
BIP.PR.E	Brookfield Infra Partners LP Pref Ser 9
BIP.PR.F	Brookfield Infra Partners LP Pref Ser 11
BIP.UN	Brookfield Infra Partners LP Units
BIR	Birchcliff Energy Ltd
BIR.PR.A	Birchcliff Energy Ltd Pref Sh A
BIR.PR.C	Birchcliff Energy Ltd Pref Ser C
BK	Canadian Banc Corp
BK.PR.A	Canadian Banc Corp Pref A
BKCH	Horizons Blockchain Tech Hardware ETF
BKCH.U	Horizons Blockchain Tech Hardware Etfusd
BKI	Black Iron Inc
BKL.C	Invesco Senior Loan Index ETF
BKL.F	Powershares Senior Loan Index ETF
BKL.U	Invesco Senior Loan Index USD ETF
BKX	Bnk Petroleum Inc
BL.UN	Global Innovation Dividend Fund
BLB.UN	Bloom Select Income Fund
BLCK	First Trust Indxx Innov Trans Proc ETF
BLDP	Ballard Power Systems Inc
BLU	Bellus Health Inc
BLX	Boralex Inc
BMO	Bank of Montreal
BMO.PR.A	BMO Pref Shares Series 26
BMO.PR.B	BMO Pref Shares Series 38
BMO.PR.C	BMO Pref Shares Series 40
BMO.PR.D	BMO Pref Shares Series 42
BMO.PR.E	BMO Pref Shares Series 44
BMO.PR.F	BMO Pref Shares Series 46
BMO.PR.Q	Bank of Montreal B Pref Sh Ser 25
BMO.PR.S	BMO Cl B Pref Shares Ser 27
BMO.PR.T	BMO Non Cum Cl B Prf Share Series 29
BMO.PR.W	BMO Cl B Pref Shares Ser 31
BMO.PR.Y	Bank of Montreal Pref Ser 33
BMO.PR.Z	Bank of Montreal Pref Ser 35
BNC	Purpose CDN Financial Income Fund ETF
BND	Purpose Tactical Inv Grade Bond ETF
BNE	Bonterra Energy Corp
BNG	Bengal Energy Ltd
BNP	Bonavista Energy Corp
BNS	Bank of Nova Scotia
BNS.PR.D	Bns Pref Shares Series 31
