Date,Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume,Vol_10wk_ma,Close_10wk_ma,Close_40wk_ma,Close_5d_ma,Close_10d_ma,Close_20d_ma,DailyLag,DailyReturn
2018-03-27,2018-03-27,1572.4,1575.96,1482.32,1497.05,6793279.0,0.0,1.0,1572.4,1575.96,1482.32,1497.05,6793279.0,,,,,,,,
2018-03-26,2018-03-26,1530.0,1556.99,1499.25,1555.86,5547618.0,0.0,1.0,1530.0,1556.99,1499.25,1555.86,5547618.0,,,,,,,1497.05,-0.037799030761122454
2018-03-23,2018-03-23,1539.01,1549.02,1495.36,1495.56,7843966.0,0.0,1.0,1539.01,1549.02,1495.36,1495.56,7843966.0,,,,,,,1555.86,0.04031934526197545
2018-03-22,2018-03-22,1565.47,1573.85,1542.4,1544.1,6177737.0,0.0,1.0,1565.47,1573.85,1542.4,1544.1,6177737.0,,,,,,,1495.56,-0.03143578783757528
2018-03-21,2018-03-21,1586.45,1590.0,1563.17,1581.86,4667291.0,0.0,1.0,1586.45,1590.0,1563.17,1581.86,4667291.0,,,,1534.886,,,1544.1,-0.023870633305096534
2018-03-20,2018-03-20,1550.34,1587.0,1545.41,1586.51,4507049.0,0.0,1.0,1550.34,1587.0,1545.41,1586.51,4507049.0,,,,1552.7779999999998,,,1581.86,-0.0029309616705851527
2018-03-19,2018-03-19,1554.53,1561.66,1525.35,1544.93,6376619.0,0.0,1.0,1554.53,1561.66,1525.35,1544.93,6376619.0,,,,1550.5919999999996,,,1586.51,0.02691384075653902
2018-03-16,2018-03-16,1583.45,1589.44,1567.5,1571.68,5145054.0,0.0,1.0,1583.45,1589.44,1567.5,1571.68,5145054.0,,,,1565.8159999999996,,,1544.93,-0.017020004072075712
2018-03-15,2018-03-15,1595.0,1596.91,1578.11,1582.32,4026744.0,0.0,1.0,1595.0,1596.91,1578.11,1582.32,4026744.0,,,,1573.4599999999996,,,1571.68,-0.006724303554274669
2018-03-14,2018-03-14,1597.0,1606.44,1590.89,1591.0,4164395.0,0.0,1.0,1597.0,1606.44,1590.89,1591.0,4164395.0,,,,1575.2879999999996,1555.087,,1582.32,-0.005455688246385981
2018-03-13,2018-03-13,1615.96,1617.54,1578.01,1588.18,6427066.0,0.0,1.0,1615.96,1617.54,1578.01,1588.18,6427066.0,,,,1575.6219999999994,1564.2,,1591.0,0.0017756173733456393
2018-03-12,2018-03-12,1592.6,1605.33,1586.7,1598.39,5115886.0,0.0,1.0,1592.6,1605.33,1586.7,1598.39,5115886.0,,,,1586.3139999999992,1568.453,,1588.18,-0.006387677600585562
2018-03-09,2018-03-09,1563.5,1578.94,1559.08,1578.89,4417059.0,0.0,1.0,1563.5,1578.94,1559.08,1578.89,4417059.0,,,,1587.755999999999,1576.7859999999998,,1598.39,0.012350448732970642
2018-03-08,2018-03-08,1550.0,1554.88,1545.25,1551.86,3512528.0,0.0,1.0,1550.0,1554.88,1545.25,1551.86,3512528.0,,,,1581.6639999999993,1577.5619999999997,,1578.89,0.017417808307450544
2018-03-07,2018-03-07,1526.52,1545.9,1522.51,1545.0,4174123.0,0.0,1.0,1526.52,1545.9,1522.51,1545.0,4174123.0,,,,1572.4639999999993,1573.8759999999995,,1551.86,0.004440129449838182
2018-03-06,2018-03-06,1533.2,1542.13,1528.0,1537.64,4561718.0,0.0,1.0,1533.2,1542.13,1528.0,1537.64,4561718.0,,,,1562.355999999999,1568.9889999999994,,1545.0,0.004786556020915045
2018-03-05,2018-03-05,1494.24,1525.38,1481.0,1523.61,5233934.0,0.0,1.0,1494.24,1525.38,1481.0,1523.61,5233934.0,,,,1547.3999999999992,1566.8569999999993,,1537.64,0.00920839322398792
2018-03-02,2018-03-02,1469.1,1501.05,1455.01,1500.25,6587564.0,0.0,1.0,1469.1,1501.05,1455.01,1500.25,6587564.0,,,,1531.6719999999991,1559.7139999999993,,1523.61,0.015570738210298307
2018-03-01,2018-03-01,1513.6,1518.49,1465.0,1493.45,6835230.0,0.0,1.0,1513.6,1518.49,1465.0,1493.45,6835230.0,,,,1519.9899999999993,1550.8269999999993,,1500.25,0.004553215708594127
2018-02-28,2018-02-28,1519.51,1528.7,1512.0,1512.45,4426580.0,0.0,1.0,1519.51,1528.7,1512.0,1512.45,4426580.0,,,,1513.479999999999,1542.9719999999993,1549.0295,1493.45,-0.012562398756983728
2018-02-27,2018-02-27,1524.5,1526.78,1507.21,1511.98,4708378.0,0.0,1.0,1524.5,1526.78,1507.21,1511.98,4708378.0,,,,1508.347999999999,1535.3519999999994,1549.776,1512.45,0.000310850672627927
2018-02-26,2018-02-26,1509.2,1522.84,1507.0,1521.95,4909053.0,0.0,1.0,1509.2,1522.84,1507.0,1521.95,4909053.0,,,,1508.0159999999992,1527.7079999999994,1548.0805,1511.98,-0.006550806531094966
2018-02-23,2018-02-23,1495.34,1500.0,1486.5,1500.0,4327008.0,0.0,1.0,1495.34,1500.0,1486.5,1500.0,4327008.0,,,,1507.965999999999,1519.8189999999995,1548.3025,1521.95,0.014633333333333276
2018-02-22,2018-02-22,1495.36,1502.54,1475.76,1484.76,4732555.0,0.0,1.0,1495.36,1502.54,1475.76,1484.76,4732555.0,,,,1506.227999999999,1513.1089999999992,1545.3355,1500.0,0.010264285136991846
2018-02-21,2018-02-21,1485.0,1503.49,1478.92,1482.92,6216694.0,0.0,1.0,1485.0,1503.49,1478.92,1482.92,6216694.0,,,,1500.3219999999988,1506.9009999999994,1540.3884999999998,1484.76,0.0012407951878725676
2018-02-20,2018-02-20,1446.49,1488.77,1446.49,1468.35,6388374.0,0.0,1.0,1446.49,1488.77,1446.49,1468.35,6388374.0,,,,1491.5959999999989,1499.9719999999993,1534.4805,1482.92,0.009922702352981316
2018-02-16,2018-02-16,1457.37,1465.8,1446.56,1448.69,4410879.0,0.0,1.0,1457.37,1465.8,1446.56,1448.69,4410879.0,,,,1476.943999999999,1492.479999999999,1529.6684999999998,1468.35,0.013570881278948566
2018-02-15,2018-02-15,1466.89,1468.94,1436.84,1461.76,5598111.0,0.0,1.0,1466.89,1468.94,1436.84,1461.76,5598111.0,,,,1469.295999999999,1488.630999999999,1524.1724999999997,1448.69,-0.008941276269702203
2018-02-14,2018-02-14,1406.25,1452.06,1403.36,1451.05,5881238.0,0.0,1.0,1406.25,1452.06,1403.36,1451.05,5881238.0,,,,1462.5539999999987,1484.390999999999,1517.6089999999997,1461.76,0.007380862134316546
2018-02-13,2018-02-13,1385.93,1419.72,1383.53,1414.51,5858860.0,0.0,1.0,1385.93,1419.72,1383.53,1414.51,5858860.0,,,,1448.8719999999987,1474.5969999999988,1508.7844999999995,1451.05,0.025832267004121556
2018-02-12,2018-02-12,1364.67,1393.81,1344.01,1386.23,6682214.0,0.0,1.0,1364.67,1393.81,1344.01,1386.23,6682214.0,,,,1432.4479999999985,1462.0219999999988,1498.6869999999994,1414.51,0.020400655013958602
2018-02-09,2018-02-09,1373.49,1383.5,1265.93,1338.99,13787886.0,0.0,1.0,1373.49,1383.5,1265.93,1338.99,13787886.0,,,,1410.5079999999984,1443.7259999999987,1485.7169999999996,1386.23,0.035280323228702226
2018-02-08,2018-02-08,1429.67,1433.75,1349.94,1350.47,8108560.0,0.0,1.0,1429.67,1433.75,1349.94,1350.47,8108560.0,,,,1388.2499999999982,1428.7729999999988,1474.2959999999998,1338.99,-0.008500744185357734
2018-02-07,2018-02-07,1449.0,1460.99,1415.15,1416.78,7066828.0,0.0,1.0,1449.0,1460.99,1415.15,1416.78,7066828.0,,,,1381.3959999999984,1421.9749999999988,1467.5419999999997,1350.47,-0.04680331455836473
2018-02-06,2018-02-06,1361.46,1443.99,1351.79,1442.84,10773963.0,0.0,1.0,1361.46,1443.99,1351.79,1442.84,10773963.0,,,,1387.061999999998,1417.9669999999987,1462.4339999999997,1416.78,-0.018061600731889893
2018-02-05,2018-02-05,1402.62,1458.98,1320.72,1396.62,10756332.0,0.0,1.0,1402.62,1458.98,1320.72,1396.62,10756332.0,,,,1389.139999999998,1410.7939999999985,1455.3829999999996,1442.84,0.03309418453122537
2018-02-02,2018-02-02,1477.39,1498.0,1414.0,1431.0,10915962.0,0.0,1.0,1477.39,1498.0,1414.0,1431.0,10915962.0,,,,1407.541999999998,1409.0249999999985,1450.7524999999996,1396.62,-0.024025157232704486
2018-02-01,2018-02-01,1445.0,1459.88,1385.14,1390.0,7812953.0,0.0,1.0,1445.0,1459.88,1385.14,1390.0,7812953.0,,,,1415.447999999998,1401.8489999999986,1445.2399999999996,1431.0,0.029496402877697836
2018-01-31,2018-01-31,1451.3,1472.58,1450.04,1451.65,6220396.0,0.0,1.0,1451.3,1472.58,1450.04,1451.65,6220396.0,,,,1422.4219999999982,1401.9089999999985,1443.1499999999996,1390.0,-0.0424689146832915
2018-01-30,2018-01-30,1403.17,1439.25,1392.0,1437.82,5736512.0,0.0,1.0,1403.17,1439.25,1392.0,1437.82,5736512.0,,,,1421.4179999999983,1404.2399999999984,1439.4184999999995,1451.65,0.00961872835264499
2018-01-29,2018-01-29,1409.18,1431.39,1400.44,1417.68,5628992.0,0.0,1.0,1409.18,1431.39,1400.44,1417.68,5628992.0,,,,1425.6299999999983,1407.3849999999986,1434.7034999999996,1437.82,0.014206308899046283
2018-01-26,2018-01-26,1392.01,1402.53,1380.91,1402.05,4584082.0,0.0,1.0,1392.01,1402.53,1380.91,1402.05,4584082.0,,,,1419.8399999999983,1413.6909999999984,1428.7084999999995,1417.68,0.01114796191291334
2018-01-25,2018-01-25,1368.0,1378.34,1357.62,1377.95,4621862.0,0.0,1.0,1368.0,1378.34,1357.62,1377.95,4621862.0,,,,1417.4299999999985,1416.4389999999987,1422.6059999999995,1402.05,0.01748974926521285
2018-01-24,2018-01-24,1374.82,1388.16,1338.0,1357.51,6730084.0,0.0,1.0,1374.82,1388.16,1338.0,1357.51,6730084.0,,,,1398.6019999999985,1410.5119999999986,1416.2434999999996,1377.95,0.015056979322435993
2018-01-23,2018-01-23,1338.09,1364.9,1337.34,1362.54,5056764.0,0.0,1.0,1338.09,1364.9,1337.34,1362.54,5056764.0,,,,1383.5459999999985,1402.4819999999986,1410.2244999999996,1357.51,-0.0036916347409984285
2018-01-22,2018-01-22,1297.17,1327.45,1296.66,1327.31,3970151.0,0.0,1.0,1297.17,1327.45,1296.66,1327.31,3970151.0,,,,1365.4719999999984,1395.5509999999983,1403.1724999999997,1362.54,0.02654240531601504
2018-01-19,2018-01-19,1312.0,1313.0,1292.99,1294.58,4395070.0,0.0,1.0,1312.0,1313.0,1292.99,1294.58,4395070.0,,,,1343.9779999999982,1381.9089999999983,1395.4669999999996,1327.31,0.02528233094903376
