Date,Volume,Date,10week,TenWeek
2016-04-03,147965003.0,2016-04-03,,
2016-04-10,145722543.0,2016-04-10,,
2016-04-17,162310051.0,2016-04-17,,
2016-04-24,189053016.0,2016-04-24,,
2016-05-01,349424063.0,2016-05-01,,
2016-05-08,225607242.0,2016-05-08,,
2016-05-15,216049836.0,2016-05-15,,
2016-05-22,212707154.0,2016-05-22,,
2016-05-29,204473324.0,2016-05-29,,
2016-06-05,140176985.0,2016-06-05,199348921.7,199348921.7
2016-06-12,124864375.0,2016-06-12,197038858.9,197038858.9
2016-06-19,191732699.0,2016-06-19,201639874.5,201639874.5
2016-06-26,206728924.0,2016-06-26,206081761.8,206081761.8
2016-07-03,185461004.0,2016-07-03,205722560.6,205722560.6
2016-07-10,112705961.0,2016-07-10,182050750.4,182050750.4
2016-07-17,142910566.0,2016-07-17,173781082.8,173781082.8
2016-07-24,147565456.0,2016-07-24,166932644.8,166932644.8
2016-07-31,256571090.0,2016-07-31,171319038.4,171319038.4
2016-08-07,170149120.0,2016-08-07,167886618.0,167886618.0
2016-08-14,124505869.0,2016-08-14,166319506.4,166319506.4
2016-08-21,132371408.0,2016-08-21,167070209.7,167070209.7
2016-08-28,123605519.0,2016-08-28,160257491.7,160257491.7
2016-09-04,133000624.0,2016-09-04,152884661.7,152884661.7
2016-09-11,168803729.0,2016-09-11,151218934.2,151218934.2
2016-09-18,390309366.0,2016-09-18,178979274.7,178979274.7
2016-09-25,201095635.0,2016-09-25,184797781.6,184797781.6
2016-10-02,156384035.0,2016-10-02,185679639.5,185679639.5
2016-10-09,126029440.0,2016-10-09,172625474.5,172625474.5
2016-10-16,208708383.0,2016-10-16,176481400.8,176481400.8
2016-10-23,115531434.0,2016-10-23,175583957.3,175583957.3
2016-10-30,210225569.0,2016-10-30,183369373.4,183369373.4
2016-11-06,156346518.0,2016-11-06,186643473.3,186643473.3
2016-11-13,207268979.0,2016-11-13,194070308.8,194070308.8
2016-11-20,198341456.0,2016-11-20,197024081.5,197024081.5
2016-11-27,94132421.0,2016-11-27,167406387.0,167406387.0
2016-12-04,155499850.0,2016-12-04,162846808.5,162846808.5
2016-12-11,151989664.0,2016-12-11,162407371.4,162407371.4
2016-12-18,195015700.0,2016-12-18,169305997.4,169305997.4
2016-12-25,113322891.0,2016-12-25,159767448.2,159767448.2
2017-01-01,84828531.0,2017-01-01,156697157.9,156697157.9
2017-01-08,103845468.0,2017-01-08,146059147.8,146059147.8
2017-01-15,138810760.0,2017-01-15,144305572.0,144305572.0
2017-01-22,116347987.0,2017-01-22,135213472.8,135213472.8
2017-01-29,124748449.0,2017-01-29,127854172.1,127854172.1
2017-02-05,249781248.0,2017-02-05,143419054.8,143419054.8
2017-02-12,136449154.0,2017-02-12,141513985.2,141513985.2
2017-02-19,136667496.0,2017-02-19,139981768.4,139981768.4
2017-02-26,87908859.0,2017-02-26,129271084.3,129271084.3
2017-03-05,127936976.0,2017-03-05,130732492.8,130732492.8
2017-03-12,99672282.0,2017-03-12,132216867.9,132216867.9
2017-03-19,121539506.0,2017-03-19,133986271.7,133986271.7
2017-03-26,129673979.0,2017-03-26,133072593.6,133072593.6
2017-04-02,127008757.0,2017-04-02,134138670.6,134138670.6
2017-04-09,105402499.0,2017-04-09,132204075.6,132204075.6
2017-04-16,87485653.0,2017-04-16,115974516.1,115974516.1
2017-04-23,89248503.0,2017-04-23,111254451.0,111254451.0
2017-04-30,89143525.0,2017-04-30,106502053.9,106502053.9
2017-05-07,167777285.0,2017-05-07,114488896.5,114488896.5
2017-05-14,167770544.0,2017-05-14,118472253.3,118472253.3
2017-05-21,154981942.0,2017-05-21,124003219.3,124003219.3
2017-05-28,101565411.0,2017-05-28,122005809.8,122005809.8
2017-06-04,86663811.0,2017-06-04,117704793.0,117704793.0
2017-06-11,156679776.0,2017-06-11,120671894.9,120671894.9
2017-06-18,217066551.0,2017-06-18,131838300.1,131838300.1
2017-06-25,121757322.0,2017-06-25,135265467.0,135265467.0
2017-07-02,125310202.0,2017-07-02,138871636.9,138871636.9
2017-07-09,76915332.0,2017-07-09,137648817.6,137648817.6
2017-07-16,107844162.0,2017-07-16,131655505.3,131655505.3
2017-07-23,103297255.0,2017-07-23,125208176.4,125208176.4
2017-07-30,103916337.0,2017-07-30,120101615.9,120101615.9
2017-08-06,159721244.0,2017-08-06,125917199.2,125917199.2
2017-08-13,126440273.0,2017-08-13,129894845.4,129894845.4
2017-08-20,130951564.0,2017-08-20,127322024.2,127322024.2
2017-08-27,110686493.0,2017-08-27,116684018.4,116684018.4
2017-09-03,124482489.0,2017-09-03,116956535.1,116956535.1
2017-09-10,100402255.0,2017-09-10,114465740.4,114465740.4
2017-09-17,217839085.0,2017-09-17,128558115.7,128558115.7
2017-09-24,182738115.0,2017-09-24,136047511.0,136047511.0
2017-10-01,152105993.0,2017-10-01,140928384.8,140928384.8
2017-10-08,91971974.0,2017-10-08,139733948.5,139733948.5
2017-10-15,80597481.0,2017-10-15,131821572.2,131821572.2
2017-10-22,124593299.0,2017-10-22,131636874.8,131636874.8
2017-10-29,119574587.0,2017-10-29,130499177.1,130499177.1
2017-11-05,203892677.0,2017-11-05,139819795.5,139819795.5
2017-11-12,111851194.0,2017-11-12,138556666.0,138556666.0
2017-11-19,114281964.0,2017-11-19,139944636.9,139944636.9
2017-11-26,79873651.0,2017-11-26,126148093.5,126148093.5
2017-12-03,166555527.0,2017-12-03,124529834.7,124529834.7
2017-12-10,134914322.0,2017-12-10,122810667.6,122810667.6
2017-12-17,132453689.0,2017-12-17,126858839.1,126858839.1
2017-12-24,115320238.0,2017-12-24,130331114.8,130331114.8
2017-12-31,96281679.0,2017-12-31,127499952.8,127499952.8
2018-01-07,99095223.0,2018-01-07,125452016.4,125452016.4
2018-01-14,107548622.0,2018-01-14,115817610.9,115817610.9
2018-01-21,122974060.0,2018-01-21,116929897.5,116929897.5
2018-01-28,185072080.0,2018-01-28,124008909.1,124008909.1
2018-02-04,248091289.0,2018-02-04,140830672.9,140830672.9
2018-02-11,299885932.0,2018-02-11,154163713.4,154163713.4
2018-02-18,222582467.0,2018-02-18,162930527.9,162930527.9
2018-02-25,133197874.0,2018-02-25,163004946.4,163004946.4
2018-03-04,196432091.0,2018-03-04,171116131.7,171116131.7
2018-03-11,138442235.0,2018-03-11,175332187.3,175332187.3
2018-03-18,151720299.0,2018-03-18,180594694.9,180594694.9
2018-03-25,168666122.0,2018-03-25,186706444.9,186706444.9
2018-04-01,75235456.0,2018-04-01,181932584.5,181932584.5
